,uuid_client,client_name,client_email,green_dots,discharge_date,modification_date
65,0951bb6c-5755-420c-9a33-c22e03275a12,Manuela Parejo,rivasluisina@hotmail.com,434,2018-11-10,2021-12-28
66,931e4416-c527-4033-81a1-8d40562b287b,Jacinto Valderrama,guillermo03@gmail.com,397,2018-06-28,2021-11-02
67,323a66db-a010-4bbe-88e5-c934e33baea1,Anastasia Perelló,sierramarcio@yahoo.com,156,2019-05-17,2021-11-20
68,c082d963-8f91-4a50-8f69-7b9794798d2b,Flavio Simó,catalageorgina@yahoo.com,409,2020-10-13,2021-07-17
69,78bd66f2-8b03-4eeb-882d-e6795ef2abf7,Marcial Sevillano,fitocasanova@yahoo.com,7,2018-03-26,2021-03-22
70,00d8d0b9-7af2-4755-a01a-a64cb181bfba,Víctor Bilbao,atiliocabrera@yahoo.com,420,2018-12-29,2021-08-07
71,56e9f782-0990-4fe7-903d-d9b459691330,Fabiola Valero,uquerol@hotmail.com,285,2019-12-09,2021-11-26
72,2da23721-0d38-4cbc-b99e-a625753ed9b8,Iván Patiño,mateohuerta@yahoo.com,297,2020-12-19,2021-12-20
73,8c1b6660-2134-44d5-8512-000f1a5a0199,Jose Manuel Canales,victornevado@gmail.com,118,2018-04-13,2021-01-10
74,77ec0785-323f-4e59-8a11-aebf803dd1c9,Eleuterio Rios,elodiapintor@hotmail.com,386,2018-10-19,2021-12-24
75,226cfda7-545c-4dcb-b875-04d842601670,Baudelio Ribas,jordannestor@yahoo.com,459,2018-05-29,2021-03-31
76,2464b840-ebeb-410e-b8da-54bda841e18e,Flavia Gabaldón,guiomar01@yahoo.com,285,2018-06-14,2021-12-29
77,378c05ca-bdc3-46fe-a6c3-5f1ccde7cf2a,Jose Ignacio Toledo,nadiacespedes@gmail.com,20,2018-09-21,2021-10-22
78,cf270ef3-4b82-48b1-88aa-c5c23e5110c8,Emigdio Fuente,apariciopastora@gmail.com,472,2019-11-05,2021-10-12
79,e37bb3ba-56bf-4f67-98f0-714e396b1e0f,Saturnino Arnaiz,narcisagomez@hotmail.com,2,2019-11-18,2021-06-09
80,319de63b-3b21-46d0-8cb2-d04104d55838,Lisandro Vazquez,snevado@yahoo.com,394,2018-03-09,2021-09-06
81,21ca2824-fcd5-423b-a0b1-c0b465077f6d,Álvaro Amat,manoloinfante@hotmail.com,387,2019-12-17,2021-06-02
82,7cb5fe3e-8c45-4fbb-b62f-79cfb540e3e2,Cesar Andrade,sofiacamino@gmail.com,420,2019-04-21,2021-06-20
83,c4491b17-01a6-4191-ac08-51f4264cd699,Patricio Mariño,anastasia39@hotmail.com,126,2019-07-27,2021-03-21
84,d87bdcd1-5b47-4a72-a8a1-509bb41312cb,Matías Iniesta,aranzazu75@gmail.com,397,2020-05-05,2021-09-29
85,b04016f5-c037-4266-aa0c-428e1088dedf,Encarna Martinez,custodialopez@gmail.com,246,2018-06-14,2021-04-15
86,e4c7c670-5da5-4c93-b00e-bfc3e03c72b6,Moisés Abad,abigailcorominas@gmail.com,51,2019-02-23,2021-07-30
87,17e402aa-f453-47e3-983c-b2eac39bc16f,Casemiro Lladó,antoniabernad@yahoo.com,111,2019-09-16,2021-08-09
88,f8e62f6b-447a-4ede-8c62-9471cd122bf1,Pastora Alvarado,zolmedo@yahoo.com,289,2018-11-08,2021-05-02
89,8534e596-2e96-4ae2-87e8-7ebb54b36102,Angelina Larrea,alcoleacurro@hotmail.com,235,2018-01-01,2021-01-29
90,14aee936-88fe-4006-a890-6986e06c8bd6,Hortensia Campos,luciocanizares@yahoo.com,276,2018-05-25,2021-05-17
91,722ff787-6f0c-48b7-9bcb-97907ea9570f,Morena Figueroa,octavio08@gmail.com,399,2020-12-27,2021-08-17
92,20a1ba7c-ca3d-4001-9970-72b323177f96,Azucena Sobrino,montanaisidora@gmail.com,405,2020-03-19,2021-09-02
93,8177c34d-d9c6-424a-a3b6-a18ce81abb31,Flor Lucas,villenamodesto@hotmail.com,430,2019-04-11,2021-12-11
94,82753682-690d-462e-8ecb-aed4a516da1b,Gracia Medina,aureasedano@hotmail.com,340,2019-05-28,2021-12-31
95,6732f712-6863-4bba-a2f9-672d30bb92e7,Andrea Saura,encarnacionpalacios@gmail.com,93,2020-09-03,2021-03-15
96,b838814b-3de7-48cc-a503-39a08ad7bd73,Vicenta Larrea,julian06@hotmail.com,248,2019-07-17,2021-11-14
97,10de9d90-7763-43d8-87d2-dd6a3a8df502,Toño Tomas,canasabel@yahoo.com,210,2019-10-18,2021-11-14
98,7ee8942c-ecb1-494c-8446-fc6a936144ae,Federico Rico,ayusonydia@yahoo.com,394,2020-09-27,2021-07-16
99,231b1b81-99c2-430c-a090-cc475b8825ab,Ignacio Cabañas,almacrespi@yahoo.com,241,2020-10-08,2021-09-09
100,5ae9b353-a239-4ef6-bb67-c7276a8f3ca2,Álvaro Salcedo,froca@gmail.com,210,2019-05-01,2021-10-25
