,uuid_store,owner_sore,owner_name,owner_last_name,store_name,latitude_coordinates,longitude_coordinates,description_store,image_store,store_phone_number,store_email,store_address,company_inscription,premium,product_type,modification_date,discharge_date
42,0b7f8622-f0e5-4845-b2c5-c0e3f974a666,,Dorotea,Calvet,FRUTAS  MARSOL,"437997,59","4470522,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 628217630,Dorotea_Calvet@elorza.net,"CALLE JULIO ANTONIO,4",A88870621,False,F,2022-06-06,2022-06-06
43,1f2012a0-8dc9-4e5a-aa5e-6af850caa31a,,Candelario,Palau,MODISTAS MADRID,"438004,59","4470508,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS CON OBRADOR,,+34 627775367,Candelario_Palau@caro.es,"CALLE JULIO ANTONIO,5",A07558055,False,F,2022-06-06,2022-06-06
44,b1b6e4e2-d1c5-43ad-823f-b1de1f405132,,Remedios,Barrera,BODEGA LATINA DORIS,"436170,59","4469470,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 628683234,Remedios_Barrera@roda-aparicio.com,"CALLE JOAQUIN TURINA,4",A09085324,False,F,2022-06-06,2022-06-06
50,5cafec64-4a99-4f0d-bf10-87cc379faea6,,Edmundo,Asenjo,CARNICERIA HAJJI,"437956,6","4471173,54","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 628196841,Edmundo_Asenjo@castaneda.com,"CALLE GENERAL RICARDOS,153",A70062678,True,C,2022-06-06,2022-06-06
64,d593e013-e836-471b-b836-858e0f6db194,,Benigna,Vera,PARTY FIESTA,"436053,59","4469151,55",COMERCIO AL POR MENOR DE GOLOSINAS,,+34 628884077,Benigna_Vera@urena-reguera.net,"AVENIDA CARABANCHEL ALTO,58",A12576860,True,G,2022-06-06,2022-06-06
65,8904ab65-c16e-425c-a6f7-eca58ca819ee,,Susanita,Torrent,EL OBRADOR DE GOYA,"437367,57","4468536,54",COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR,,+34 627671295,Susanita_Torrent@cordero.es,"CALLE CALDERILLA,1",A56278386,False,H,2022-06-06,2022-06-06
66,d19e51b0-fb44-42b1-bc06-e046206bd3a1,,Marc,Tello,GELATIAMO,"437367,57","4468536,54",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 629676672,Marc_Tello@fajardo-aznar.org,"CALLE CALDERILLA,1",A50177899,False,R,2022-06-06,2022-06-06
67,90dc58ec-34d4-4093-b051-1eb0c9056359,,Bernabé,Hervia,CARNICERIA,"437367,57","4468536,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 625684578,Bernabé_Hervia@roldan-tena.com,"CALLE CALDERILLA,1",A15970895,True,C,2022-06-06,2022-06-06
68,692bfd0d-5895-4806-861b-572956ff45f4,,Reynaldo,Meléndez,HALAL,"438074,6","4471127,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 624635878,Reynaldo_Meléndez@antunez.com,"PLAZA GANDARA DE ORO,6",A42939241,False,C,2022-06-06,2022-06-06
73,9640e315-85e0-49f7-973a-f1c1e6bb9159,,Clarisa,Agustí,FRUTERIAS DE PRIMAS CB,"438175,59","4470720,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 627555389,Clarisa_Agustí@lobato.com,"CALLE CAMINO VIEJO DE LEGANES,133",A23222633,True,F,2022-06-06,2022-06-06
74,9cdfe7e8-a39f-4285-ae70-5935b96cf699,,Rosalva,Criado,LOS CHICOS,"435918,59","4468927,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 624845020,Rosalva_Criado@elias.net,"CALLE ALFREDO ALEIX,7",A20387336,False,F,2022-06-06,2022-06-06
75,61c1a1be-8b21-4bda-9320-9b5b384f7169,,Lalo,Poza,FRUTERIA LAS GEMELAS,"438292,59","4470404,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 623546044,Lalo_Poza@arribas.com,"AVENIDA ABRANTES,40",A44761569,False,F,2022-06-06,2022-06-06
76,38e38989-2dd9-4fd3-8f46-78f94b52a6d0,,Urbano,Robledo,AHORRAMAS,"436940,6","4470407,55","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (GRANDES SUPERFICIES)",,+34 620226958,Urbano_Robledo@ribes.es,"CALLE EUGENIA DE MONTIJO,29",A86121077,False,X,2022-06-06,2022-06-06
77,55714a46-7f21-4034-a54f-8854678225bc,,Geraldo,Cazorla,PASTELERIA PANADERIA ECUADOR,"436550,6","4470049,55","COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",,+34 621635173,Geraldo_Cazorla@hoyos-izaguirre.org,"CALLE EUGENIA DE MONTIJO,59",A57103262,True,R,2022-06-06,2022-06-06
80,89eb7922-34e3-4bf0-9bc8-f50894a71fb9,,Pepita,Bartolomé,FRUTAS Y VERDURAS ALMANAR,"437943,59","4470397,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 621353712,Pepita_Bartolomé@yuste-garcia.com,"CALLE OROPENDOLA,4",A75494896,False,F,2022-06-06,2022-06-06
81,60283952-ec89-4e01-a7d6-b8b71a73e069,,Sebastian,Sanz,PASTELERIA CON BARRA DEGUSTACI0N Y OBRADOR PAN    ,"439291,59","4471993,53",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,,+34 626642925,Sebastian_Sanz@montenegro.com,"CALLE ANTONIO DE LEYVA,6",A08842524,True,R,2022-06-06,2022-06-06
83,7257b57e-06fa-45e6-9f47-f024bcfd129f,,Baldomero,Busquets,SUPERMERCADO,0,0,COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,,+34 628917922,Baldomero_Busquets@montero.net,"CALLE HALCON,36",A79457773,True,X,2022-06-06,2022-06-06
84,a4527da6-32fc-43d8-9944-d9b7bb3c746f,,Álvaro,Carranza,FRUTAS LEGAZPI,"437899,6","4471062,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 621630119,Álvaro_Carranza@sandoval.com,"AVENIDA OPORTO,91",A53950050,False,F,2022-06-06,2022-06-06
85,8c108d0c-e030-4f87-a838-2e9b0c67723b,,Eric,Ramos,"CARNICERIA LA CALIDAD""""","437964,6","4471216,54","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",,+34 629320997,Eric_Ramos@espejo.com,"CALLE GENERAL RICARDOS,158",A67784690,True,C,2022-06-06,2022-06-06
88,33f3fe48-7fd0-43b5-bdb1-891e318a2932,,Virginia,Elorza,PANADERIA,"438472,59","4471461,54",COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,,+34 623685201,Virginia_Elorza@espejo-batalla.es,"CALLE SAN BRAULIO,3",A71388975,True,X,2022-06-06,2022-06-06
90,4be7978f-0405-4ebb-ae24-0f7d82d24bdc,,Abigaíl,Borrego,LUCKY SEVEN ,"437414,6","4471994,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 626942526,Abigaíl_Borrego@gutierrez.es,"CALLE VIA CARPETANA,77",A28321507,False,F,2022-06-06,2022-06-06
91,86fd7377-3bbd-4408-b06b-e0c2a06fbf47,,Angelina,Escrivá,LA SIRENA CONGELADOS,"437195,6","4471192,55",COMERCIO AL POR MENOR DE CONGELADOS,,+34 626512679,Angelina_Escrivá@moll-fabregat.com,"CALLE OCA,74",A79711843,False,P,2022-06-06,2022-06-06
93,e5be89ee-f61d-4b35-b1dc-2bef74fee1ba,,Carmen,Báez,CARNICERIA CHARCUTERIA MERCAFRESCO,"438891,59","4471878,54",COMERCIO AL POR MENOR DE CARNICERIA-CHARCUTERIA,,+34 629005794,Carmen_Báez@abellan-alcolea.es,"CALLE GENERAL RICARDOS,47",A76431757,False,C,2022-06-06,2022-06-06
94,c5fd0e34-da41-4f03-8110-84a5d9eaa2e2,,Omar,Carrasco,CAFE & TE,"435647,59","4468379,56",COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR,,+34 628625590,Omar_Carrasco@pavon-santamaria.org,"CALLE SALVADOR ALLENDE,24",A36876017,False,H,2022-06-06,2022-06-06
95,92f601cf-5031-4f34-9e95-6e98ef00a521,,Edmundo,Vera,HERMANOS ESCORIAL,"438573,59","4471631,54",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 623281741,Edmundo_Vera@benet-mendizabal.com,"CALLE CAMINO VIEJO DE LEGANES,6",A88802846,True,F,2022-06-06,2022-06-06
96,1e55f1b0-2f18-4e33-b4c0-00de34c63c13,,Dafne,Santamaría,EL FORNO,"439811,59","4471544,53",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 622266519,Dafne_Santamaría@gamez.com,"CALLE FERNANDO DIAZ DE MENDOZA,52",A82915830,True,R,2022-06-06,2022-06-06
97,3b92625d-ed5f-439f-bb41-593835f49844,,Tatiana,Morillo,JUAN CARLOS AVES-CAZA-HUEVOS PTO. 40 - 41,"435827,59","4468861,55","COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA CON OBRADOR",,+34 624061073,Tatiana_Morillo@franco.es,"CALLE ALFONSO FERNANDEZ,6",A34397584,True,C,2022-06-06,2022-06-06
98,a52ba9a7-1a4f-467f-856e-ea8ace520958,,Eufemia,Vargas,BELEN - HORNO DE PAN CAFETERIA,"437367,57","4468536,54","COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-BARRA DEGUSTACION",,+34 629976140,Eufemia_Vargas@badia-rojas.es,"CALLE CALDERILLA,1",A24745380,True,R,2022-06-06,2022-06-06
100,65175465-3411-4bf3-9977-830b206d7a93,,Nicanor,Ferrera,PARAISO DEL JAMON,"436974,59","4470010,55",COMERCIO AL POR MENOR DE CHARCUTERIA,,+34 626883690,Nicanor_Ferrera@fernandez.net,"CALLE MARIA ODIAGA,17",A70229685,False,C,2022-06-06,2022-06-06
102,a3a53fca-c425-49d7-9e35-f4623585cd32,,Augusto,Duque,CARNICERIA NICOLAS Y ANGEL VALLINOT,"438452,59","4471497,54",COMERCIO AL POR MENOR DE CARNICERIA,,+34 625981169,Augusto_Duque@leon.net,"CALLE SAN PATRICIO,1",A69386130,False,C,2022-06-06,2022-06-06
106,80389d29-5d95-46c5-a9c5-9782201587b3,,Cristóbal,Carreño,CARNICERIA CHARCUTERIA,"436813,59","4469644,55",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,,+34 626468668,Cristóbal_Carreño@diego.es,"PASEO CASTELLANOS,40",A83872353,False,R,2022-06-06,2022-06-06
107,709e84f4-7c00-40a2-8274-9f936ac0f1b6,,Angelina,Matas,GROSELLA,"438469,59","4471379,54","COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",,+34 624646486,Angelina_Matas@acero-colom.net,"CALLE CAMINO VIEJO DE LEGANES,49",A33120342,False,R,2022-06-06,2022-06-06
108,e53b4fd7-5fba-4e55-876b-b76fb049dc76,,Caridad,Paz,LA SIRENA CONGELADOS,"438452,59","4471497,54",COMERCIO AL POR MENOR DE CONGELADOS,,+34 624850383,Caridad_Paz@marin.org,"CALLE SAN PATRICIO,1",A75650028,False,P,2022-06-06,2022-06-06
109,37abd992-e8cc-40b0-bc51-179759c2921e,,Isabel,Abad,PESCADOS Y MARISCOS,"438811,59","4470919,53",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 629498228,Isabel_Abad@gomez.org,"CALLE VIA,15",A05941463,True,P,2022-06-06,2022-06-06
112,a281b1b1-92fa-42c4-9da9-8c071adde7dd,,Toño,Caparrós,PANADERIA Y PASTELERIA LA PERLA,"437364,6","4470856,54","COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION",,+34 628461694,Toño_Caparrós@palmer-alonso.com,"CALLE MATILDE HERNANDEZ,101",A89931193,False,R,2022-06-06,2022-06-06
113,ca99f98e-d2f1-4ddf-85d0-5d1cec929b4e,,Belen,Barceló,PASTELERIA JOSE-PAN,"437339,6","4470902,54",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 626429750,Belen_Barceló@puerta.com,"CALLE MATILDE HERNANDEZ,100",A55586297,False,R,2022-06-06,2022-06-06
114,de721e4a-f7c9-4931-a301-91f02513b53c,,Leocadia,Posada,MERCADITO LOS SERRANO,0,0,COMERCIO AL POR MENOR DE CARNICERIA-CHARCUTERIA,,+34 625440832,Leocadia_Posada@amigo.com,"CALLE VIA CARPETANA,145",A11052663,False,C,2022-06-06,2022-06-06
115,8c9fea06-82c1-4214-a8e7-31faa2d06ee1,,Edgardo,Saez,FRUTERIA,"436325,59","4469610,55",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 627711164,Edgardo_Saez@torrent.es,"CALLE LUIS DE ZULUETA,1",A57582360,True,F,2022-06-06,2022-06-06
116,58058ad4-1de5-4702-9e6c-b8dcf14295a1,,María José,Viña,PANADERIA OSORIO,"437047,6","4471548,55",COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,,+34 624082716,María_José_Viña@gallardo-salmeron.es,"CALLE VIA CARPETANA,145",A77579673,False,R,2022-06-06,2022-06-06
117,743d74e5-4fa1-4aef-abe9-81ee11d89a77,,Angelina,Pozo,AUTOSERVICIO DE FRUTAS Y VERDURAS,"439712,59","4471896,53",COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,,+34 622259590,Angelina_Pozo@correa-melendez.com,"CALLE ANTONIO LOPEZ,47",A86023718,True,F,2022-06-06,2022-06-06
119,156e7d31-849b-4975-a2ce-6727f579ccb0,,Cristian,Ariño,DIA MARKET,"438403,59","4471375,54","COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",,+34 622917344,Cristian_Ariño@piquer.org,"CALLE ALEJANDRO SANCHEZ,18",A62742691,False,X,2022-06-06,2022-06-06
120,92ba1745-c082-4ab3-8c7b-b23b7c8f7af8,,Isaura,Peña,PESCADERIA,"438806,59","4470891,53",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,,+34 623828345,Isaura_Peña@linares.es,"CALLE VIA,18",A59398345,True,P,2022-06-06,2022-06-06
122,4c81b730-c369-420c-92eb-a29a6ec5eb3a,,Reyes,Aguilar,EL REY DEL JAMON,"438660,59","4470759,53",COMERCIO AL POR MENOR DE CHARCUTERIA,,+34 626458812,Reyes_Aguilar@alvarado.com,"AVENIDA OPORTO,19",A83250436,False,C,2022-06-06,2022-06-06
