,uuid_assessment,uuid_store,uuid_client,tier_assessment,uuid_father_assessment,valor_assessment,text_assessment,modification_date,discharge_date
13,2b7195ce-f761-4402-a0c5-8c1bc9e1b416,a6f6d350-3813-4050-a75d-7f9d04398cd4,cace8adc-13de-4ef2-9622-fc05912afc2d,1,642a3b04-53cd-47ab-b38b-7bca5fbf397d,2,"A earum voluptas. Illum voluptatibus libero hic. Non fugiat adipisci nostrum beatae illo nam dolore.
Fugit iste pariatur tempora nihil impedit quis.",,
14,9905c9fd-242f-4def-9074-3c4131bb02d7,81879d55-4e3e-4253-8d90-06d316cd4789,011445ae-a41b-4d49-8f50-141dedea02e8,0,0,5,"Quos vero esse dolorum earum provident beatae porro. Vel temporibus cupiditate quae ab voluptates itaque.
Accusamus ipsa modi nulla tenetur dignissimos. Nulla eos consequatur recusandae voluptas esse quam porro. Sapiente error provident sapiente.",,
15,53010a5c-1f2b-4d1d-b8ac-37e333af438b,5ba2cf18-7f2c-4d25-b8f6-b3c364ae9cdf,25a085eb-e615-49d9-a18b-7abe08349a3e,0,0,5,"Error excepturi itaque voluptas quos dolorem. Molestias voluptatibus ducimus odio. Similique porro molestias.
Placeat praesentium odio soluta adipisci fugit natus. Nisi eligendi facere. Doloremque cum blanditiis voluptate provident.",,
16,9a48c5ee-b23b-426c-aa10-669a8913507d,d593e013-e836-471b-b836-858e0f6db194,41e9aa7c-453f-4a38-a2c1-37e6aac8531d,1,871686ef-81ed-4919-86c4-f513c99d24a9,5,Laborum laboriosam aliquid. Dignissimos reprehenderit similique provident quia quos. Excepturi ipsam accusantium necessitatibus voluptatibus consequatur hic.,,
17,55fbca7e-24e1-4a79-b35e-99804fb9c4c9,05d1378b-46c5-4e16-a977-68c47fd60797,7aafb612-6a5f-4736-ba4f-9c233ed91f05,1,47a5c222-1eef-4f63-8439-4f47f54993cb,5,"Consequuntur repudiandae perferendis cumque. Reprehenderit pariatur architecto cum.
Totam id reprehenderit esse eveniet. Ex praesentium vero itaque natus error amet.",,
18,42bcc79d-7c8b-4b19-8acb-2e352d3c90e0,696d21fb-a848-4f9f-9652-644a8ea3d615,98729cea-abb9-4ee1-894e-9d590b5a23c2,0,0,5,Architecto ea occaecati dolore sed quos doloremque consectetur. Enim culpa debitis alias unde est officia. Dolores sunt nihil rerum hic quos laudantium.,,
19,0c9b1039-8318-4692-9b9d-dbf65ba828ac,c9a9d189-68be-4568-9ccf-39ccfe32acac,97a780df-3bb5-4792-9a06-456bb5244bfb,0,0,5,"Voluptatem totam ex consequuntur iure sunt iure. Quae corporis perferendis maxime tempore.
Vel deserunt harum fuga totam eaque.
Iure est repellendus amet voluptas consequatur. Inventore illum autem adipisci doloribus.",,
20,fa4dc659-cfbe-43d3-a5a5-078ac2798578,259597f6-348e-4a60-884c-d3aff815a991,86bc9310-8c11-4491-8ba5-cecf7e98102a,0,0,1,Aut explicabo repellat voluptates commodi. Accusantium cupiditate ipsum veniam numquam eius. Voluptatem labore numquam explicabo.,,
21,1214acda-926c-4930-b581-570618241059,96769acd-5e70-4f6b-a33d-ffccfd2bc0d9,79bc845c-ed1f-4fed-ba6e-4f33431c992f,0,0,4,"Commodi dicta itaque labore. Deleniti libero nihil quo.
Voluptate animi doloremque placeat esse. Optio similique incidunt dolores vero magnam quia. Iste accusantium nam asperiores iure.",,
22,5232d107-49c5-4344-8983-4b4ebfcc515f,8ee351ae-83a3-418f-8697-d6db9bbbe8e0,7e17f2bc-220b-4d68-8894-d64973d6c5d2,0,0,5,"Magnam ea distinctio. Vel similique inventore. Vitae voluptatum sint impedit.
Numquam provident praesentium possimus perferendis quo.",,
23,6243604c-5ef5-4ef1-a67f-532dddefff1a,4f88680f-7632-4447-bda6-3ab898374bc6,de764fa6-5866-4a7b-9042-8103d353610e,0,0,4,"Suscipit nobis ullam eius. Voluptate asperiores voluptatem deserunt.
Natus maiores corporis accusantium. Quisquam similique cum voluptatum. Ipsa alias pariatur unde cumque quasi.",,
24,0eab5c41-a108-42e7-8bce-0573bc66212f,283d0425-3d73-441d-a22b-4303a3c4fd0d,c121f773-e0d5-4618-8c32-74a2767f2fef,1,2886c282-d240-4bed-9a0e-1d973257699a,2,"Accusamus reprehenderit adipisci quisquam veniam. Ab soluta doloremque ad reprehenderit ad enim.
Fugiat facilis est cupiditate natus. Explicabo minima praesentium iste tenetur. Dicta natus ducimus sit.",,
25,5c701c4d-435d-48b1-8572-558af06df119,3a63ba56-aeb8-462e-a251-766248c8a8c0,9b4e11ec-b059-48b9-8a1c-8f2c658d08de,0,0,1,"Possimus in odio doloremque. Libero amet labore voluptatibus vero quos. Labore harum in quos harum pariatur mollitia.
Minima voluptates quas perferendis. Cupiditate nobis unde at. Assumenda illum fuga occaecati cum quis.",,
26,8e084c88-f9a8-4239-b68c-1d828acacac7,524f6638-fd5e-4869-a9df-3fd107ec5058,63e68d33-f43c-45e6-8b82-87f54f21d65e,0,0,2,"Commodi dicta sapiente facere necessitatibus in nam. Itaque accusamus rem quos accusamus asperiores.
Exercitationem tempore debitis quaerat assumenda voluptates animi dolorum. Modi officiis aut.
Illum fugiat dolorem officiis.",,
27,8183dd11-cf3e-4853-9038-d2444b37cfdd,382d4dd7-042e-47ca-b45a-b1cb71b6af97,5f414094-3b34-4453-aecb-caf208ffada9,0,0,1,"Eos cupiditate corporis id hic enim cum. Perferendis occaecati dignissimos repudiandae eos similique adipisci. Aliquid quasi at esse blanditiis animi eaque.
Perferendis odit ullam labore delectus quisquam distinctio. Voluptas inventore optio magni.",,
28,8dcd9da8-2e56-4495-97aa-f01c95cc7050,9656ab5e-d409-441f-bf74-a8ccefb5ca48,e70debcf-d92d-4f5a-af0a-eeff292da1dd,1,32166182-1166-4354-9cc6-3ca83f190f42,5,"Nihil ad qui ullam doloremque.
Commodi sapiente sequi nam nostrum accusantium. Quia molestias consequatur est sapiente cum.
Itaque numquam ad eaque sequi. Dolor hic mollitia iste architecto.",,
29,2a785f28-afe4-4dda-a23e-7b6d53e9065c,c8f0bd15-6964-49db-8140-435f73f7276e,1730452b-43d6-4ef1-b919-2b81ff54f2e5,1,75932441-72ae-4004-ab3c-9cf23b9752b0,2,"Ratione hic cum culpa eveniet quas.
Harum asperiores placeat perferendis. Veniam libero incidunt quo perspiciatis vero.
Odit necessitatibus nesciunt nemo suscipit deleniti. Enim magni facilis numquam assumenda dignissimos laudantium.",,
30,aee50266-4dd0-49d9-ae32-3fce7da54577,d8d4ed1d-27a4-40ae-8dc3-6281749b7a99,77753ca9-17db-49d9-9091-62f5728eb2b0,0,0,3,"Facere natus non enim deserunt corporis minus. Ullam quos et at. Ducimus voluptatum natus veniam.
Quibusdam fugiat nulla. Ipsa nemo rerum dolore totam. Sint repellat nemo possimus.",,
31,9192ba51-45b1-4bcb-9967-ab66175b30c8,f29e5c66-f9d0-4298-9621-6de1f168d56d,1380e162-2a94-410b-ad61-1f8d11fdba61,0,0,4,Quas aliquid ullam necessitatibus sapiente libero laboriosam. Veniam iure nemo sunt quam odit esse.,,
32,8895534e-6b42-4ebf-a166-344ded1b4502,010f23ca-f39e-4ecb-95d0-4a479b50d21a,14c3d9e8-7e0d-4b29-8915-b8ce3b8958dd,0,0,1,"Accusamus dolor delectus nisi beatae deleniti nulla debitis. Explicabo totam porro deserunt aperiam corporis maiores eligendi.
Non architecto quos. Rerum iste at officia dolorem adipisci veniam dolor. Sunt at quod aut debitis laudantium.",,
33,30db9d13-4aba-45c3-922c-23d0320b3e1e,fb9c0033-e923-4c88-a984-6f69f7dbcb52,81c634cd-7def-49c6-a585-4ddd0caf4a0e,0,0,2,Dolore molestiae delectus maiores aspernatur totam. Quas enim tenetur accusamus consectetur corrupti doloribus. Et neque fugit quo deserunt. Similique laudantium quos nulla.,,
34,e9a0785a-77b4-453e-8156-c6ba8f8b9b8b,43d93801-5277-4818-b601-c7c015471494,49c5ff83-b2b2-41e8-a23d-b2a74cd635bf,0,0,3,"Eveniet laudantium esse atque minima consequuntur repellendus. Rem ea numquam delectus eos ea nulla nobis.
Voluptatibus distinctio odio nostrum est vero minus. Numquam quas aliquid ea tempora.",,
35,ce595198-a84e-411f-9718-b35f669bd527,4f27d173-0489-4cee-94a9-7ce5e6671cbc,c4a0dae9-a7f6-40cc-adfd-d8290c12720c,1,2493cf0b-0d2c-4994-ace1-b2892ceccd54,2,"Minus porro tempora id consequatur nemo. Aliquid ducimus maxime error.
Molestias doloribus dignissimos illo. Recusandae magni fugiat fugiat qui dignissimos. Provident minus a itaque ab assumenda error.",,
36,cac78a9c-ca33-48fa-a252-6ea4dea559a8,7bb15637-05e0-4640-982f-ab90fbc6cac6,3b19f35d-8a57-48a0-90b9-77c9e78d860f,0,0,2,"Harum aperiam pariatur earum.
Vitae pariatur enim ducimus doloremque. A at molestiae aut.
Iste ab earum perferendis cupiditate. Mollitia recusandae fugit saepe.
Sapiente a hic dolore voluptates id. Voluptatibus natus eos debitis odio.",,
37,b3072934-0015-4467-8ff0-9bc5d67dab81,43d93801-5277-4818-b601-c7c015471494,db2d2678-e058-4a7c-8970-e18598f3177a,1,dc7a747f-0946-47fb-b671-d07ddfb641bb,3,Doloremque aliquid fugiat iste molestias impedit. Sapiente voluptates magni aspernatur porro in pariatur optio. Neque fuga veniam saepe aut.,,
38,b7d24419-5714-4827-ada2-f1acf5d1760b,9c5333d7-8ce8-4ad8-a91d-c77104960ef9,669ce29c-5c89-495b-a1ba-ba6ae1620caa,0,0,3,"Voluptatem debitis quas ipsam officiis. Tenetur culpa rem voluptatum beatae dicta aperiam. Illo repellat sapiente eum.
Veniam ullam hic animi. Sequi placeat numquam occaecati quaerat. Sit error dolores vel expedita.",,
39,6f7681a5-2d11-492c-9806-2f1c57350b8b,956f5b8e-fbac-4298-8a38-114b2dc40ff7,79e3a4f8-0190-4776-91f4-e9d9d3799d4b,0,0,3,"Modi officiis maxime maiores magni vero dolorum. Maiores nam nam natus eos. Quia illum occaecati vel aut sequi aperiam tenetur.
Aspernatur aspernatur necessitatibus. Eaque vero possimus tempora. Corrupti et iste at maiores distinctio.",,
40,a15cf440-7705-4300-8349-1872a577c141,3af3b2a0-a36c-40ab-bb36-8cf06bc5284f,8aa7d060-b86e-4f6d-bdca-b5fd1081776d,1,c553be50-7d74-40fa-bb43-8a1d6da52149,2,"Cum assumenda amet minus dolorum. Ratione doloremque quam. Id pariatur debitis.
Incidunt commodi illum facilis voluptates libero. A corrupti omnis placeat possimus dolores adipisci.",,
41,0f28815d-cd0e-48fd-a094-14003bd1cf66,0bbcda3e-9119-4d44-9e3f-1d4c41081268,c38b8c85-3608-4a8d-b453-654bae301b70,1,9a6ff090-a9f8-445e-a7f2-9c88ebe32989,2,"Ipsam necessitatibus rerum. Nisi laborum ex at adipisci aliquam ad suscipit.
Blanditiis dicta quas nisi quia ut tempore. Voluptatem fugiat incidunt ea facilis libero recusandae.",,
42,baa1fa0d-1080-4037-848a-b3f7f676c491,96c41f27-ce9a-44da-bacb-8f1ab8d3434d,f8f2b4ba-6b96-4b10-b4b8-1fb1d9004379,0,0,4,"Eum odit odio unde. Et mollitia ab nihil nemo quas delectus.
Cupiditate ratione quas quis exercitationem facere officiis. Minus aperiam eos omnis ea autem magni. Quaerat eius ipsam asperiores aliquid pariatur aut.",,
43,e5cfb892-25f4-4663-8b0e-e607ea1dc48e,e0d60274-b7e2-47f6-8425-e6960ec91a97,0069b617-8667-4ce6-9946-bc11ab3e201b,1,b56eceb8-8c36-4e7b-8761-cf6cb929360e,3,"Eius aliquid eveniet. Officiis cum pariatur cum. Facere voluptate cum voluptates numquam pariatur.
Debitis nam vel eaque ullam dolore aspernatur porro. Laborum hic dicta debitis deserunt autem quo tenetur.",,
44,4f8db34c-d981-451e-978c-81a9787d3f1b,4af30648-b1eb-427c-819d-15369c99a5c2,9d82e872-3c91-411d-a83e-069297c585ce,1,6bef5928-21ac-4a99-b7f3-b086d62ea0e5,3,Necessitatibus blanditiis perferendis praesentium molestias molestiae. Odio ad dolorem cum.,,
45,3687da38-2eac-4943-8b82-c3a13752310c,4fc11657-1243-474f-9519-c7d645b7dab3,01fb6cff-1b0d-42c3-953b-8dec1b9c68b1,1,3c7d398c-9c29-4b26-8680-ed1f31596db2,5,Ratione fugit reprehenderit est vel. Deserunt voluptatem consequatur minima cum architecto. Quidem laudantium doloribus distinctio voluptatibus iure dolorum voluptate.,,
46,6f3e8501-7289-4011-bfb9-6e945c2c0bb1,40871694-36f3-4a3f-a2bb-0a8f501a490a,72833387-c113-4f15-b52f-1fc96fecea41,0,0,5,"Exercitationem nihil maxime reiciendis. Quos qui eligendi nisi nulla aliquid eius. Porro dignissimos a laborum aliquam.
Qui veniam facere expedita necessitatibus quam repellendus.",,
47,9eb0ce45-182d-43ed-90bc-4a312cafc16e,50791d24-935e-4fd8-a049-0ffc10b7a2fe,904f5a31-07dc-4c04-a847-98cda9095e9a,1,ebc2252e-6a60-4896-aed6-fbe9dfd41889,4,"At neque iure incidunt accusamus consectetur porro.
Nulla cumque delectus. Quae magni voluptas neque eligendi. Dignissimos vitae magnam quibusdam.
Atque perspiciatis maxime. Voluptatem quos nesciunt voluptates officiis accusantium alias corporis.",,
48,f09d5923-abad-45c0-8793-e36e8b40906f,0e10528d-6a29-40ec-b2eb-a4757a21fe0e,e4953703-741a-4626-9f06-bc59ee4b8fbe,1,054ff82b-4d35-4230-af3a-4b77b6865548,3,"Voluptates voluptatum architecto ad. Quos repellendus omnis facere sit reiciendis itaque.
Neque labore quae dolor consequatur. Repellendus ipsam voluptas dicta aliquam sint sunt. Vel sit nostrum.",,
49,545d3235-7864-4eb2-b46f-a35c1d74b34a,881c79b9-c215-4412-8353-a8dfc20d074b,29f59545-c13c-4779-99f4-ec33a881fe0e,1,4f8db34c-d981-451e-978c-81a9787d3f1b,3,Perspiciatis officia commodi omnis eligendi nemo. Unde adipisci nesciunt eum illum sit nisi distinctio. Sunt quasi excepturi maxime tempore mollitia.,,
50,f1426824-3cf6-450a-8a78-30fe58f5d19c,6df348a4-bc2e-4a60-9340-4350a8d6be64,1cde36c1-5569-4d81-875c-7444c783df74,1,8c10b625-67c0-4b5d-ac17-c38ab34333f4,5,"Repellat dolore enim non necessitatibus cumque et. Exercitationem maiores ipsum odit.
Perferendis modi molestias corporis maxime fuga quisquam. Totam ipsa aperiam vitae cumque laboriosam. Nisi consequatur aperiam voluptates.",,
51,39fbbc00-67aa-4b1b-93ed-5fa492cce4f2,6f903f75-a8cd-439e-b062-ea007d5e237d,80b2d452-965a-4102-8b15-22d28074f55d,1,9ceaedd1-0431-4f6b-bd94-683297d7f814,3,"Illo assumenda ullam voluptas ex eaque tempore doloribus. Deserunt sed dolorem nam rerum repudiandae.
Eos accusamus excepturi veniam. Officiis consequatur totam unde. Dignissimos ducimus nemo facere.",,
52,68beef25-4bee-4ef1-869e-856e15e0b069,a140a8f3-57f4-4b29-b1f9-2eb4ad155118,af6b5aaf-e9b3-44b6-abe6-e9537ce23bf2,0,0,5,"Sint qui alias nobis. Eaque reprehenderit illum eum iusto. Sequi aliquam laudantium rerum temporibus.
Ad harum praesentium facilis sed. Molestias quasi occaecati dolor. Eaque tenetur maxime dicta.",,
53,4cf62392-a1e8-4a24-b801-ed07fa6d5bdc,965421b7-729e-40b9-9aa6-870735373891,c9df80a6-a4cf-4eee-99d5-9ba374c8749e,0,0,4,"Corrupti alias sapiente repellat rem quos natus.
Quibusdam eos sint nesciunt iusto ipsa commodi. Quasi repellat hic minus sapiente. Repudiandae ab corrupti.
Eius a incidunt quos. Asperiores debitis nihil. Saepe est enim voluptatem laudantium.",,
54,25b0c8ac-5c9a-4c84-853c-1ea6f63fbb59,e6b61830-08ef-43ad-bd77-aabd075bdf0d,2e8f65e4-7da5-4762-a86a-ab121cb20246,1,b6928fdd-e7d5-4d32-9a6f-5a3173b113dd,5,"Ducimus consectetur aspernatur exercitationem officia adipisci expedita. Hic molestias ab quas. Nemo impedit nostrum ad quae porro porro.
Fugit eligendi tenetur incidunt. Blanditiis excepturi quaerat perferendis esse.",,
55,710629d9-955f-43f2-8662-4f1fb83168b8,f848d637-943b-43c2-9e16-929ce6c45d9f,9f06b07b-aec7-48a9-a4b7-9ec4d25d0140,1,369f043c-6a8b-4343-8370-0623f425e7e4,4,"Unde ipsam quidem labore. Cupiditate veniam inventore. Molestiae explicabo sit ipsam.
Molestias esse molestias. Sapiente eaque cum odit animi ullam ratione explicabo. Itaque quam vitae hic impedit. Maxime enim impedit ex.",,
56,389b4376-153d-497d-a5d1-b4261cee20be,a2d48fe3-4dee-440f-a885-eaab1b59c527,1e8ae353-cff5-4e69-bff7-a67be8e8fde3,0,0,1,"Quidem ullam modi facere. Quisquam velit placeat.
Voluptatibus molestiae veniam quibusdam autem quis eligendi. Est ratione nisi a nisi. Enim maxime non. Accusamus impedit dicta blanditiis.
Neque accusantium quibusdam hic saepe consequuntur.",,
57,0fb5a29f-0f08-4fcc-9ed5-5e79268770a7,0e4c0f98-46ab-4800-bef6-87fd3b3c28c5,d36cb50f-fefc-4b5f-b425-68f900541160,1,4872c95f-389f-454b-8512-a637c35b8f7f,3,"Aut eveniet quaerat in. Reiciendis quasi laudantium impedit eveniet dignissimos.
Voluptates quo id deserunt molestiae magnam ipsum. Quasi vero corrupti.
Molestiae modi minus expedita cupiditate. Iure vel excepturi dolorum animi impedit.",,
58,2630e840-f53b-4a7b-9526-1c43236c71d6,ba325742-51ce-4c0b-948e-bc33112fa4c2,722ff787-6f0c-48b7-9bcb-97907ea9570f,1,40633ad8-fc65-40fa-b2bd-8c3f97d754a9,1,"Aliquid possimus amet asperiores laborum. Fugit pariatur sequi.
Nobis perspiciatis quibusdam consectetur. Totam culpa ducimus necessitatibus alias perspiciatis. Recusandae dolorum architecto rem occaecati.",,
59,adedf03d-77dc-4e1c-b52c-669ae5884165,e8a791a6-fa9e-4809-a519-c6bc63c93d0e,6fdd9a6a-5886-4d3e-88d1-aa1811326595,0,0,4,"Quo alias omnis cum. Nesciunt nihil inventore voluptas.
Consectetur veniam consectetur ipsa. Vero in ducimus occaecati veritatis maiores. Consequatur perferendis nihil accusamus mollitia quae qui itaque.",,
60,b123912a-4024-4153-93d3-a75530090789,d567c3a1-f0d0-4b75-8777-98e5fd87a8e1,aaf7cad5-7314-4e69-9b73-5cd1450aa226,0,0,5,"Facere in fuga. Deleniti praesentium voluptatem vel amet incidunt consequuntur doloremque. Dolorum praesentium eveniet itaque adipisci sapiente.
Placeat vero voluptatum rerum officiis nemo. Aut dolorum culpa autem.",,
